# Exemplo de CSV para testes
# Salve este arquivo como: data/exemplo_produtos.csv

id,nome,categoria,preco,estoque,ativo,data_cadastro
1,Notebook Dell,Eletrônicos,3500.50,10,true,2024-01-15
2,Mouse Logitech,Periféricos,89.90,150,true,2024-01-16
3,Teclado Mecânico,Periféricos,450.00,45,true,2024-01-17
4,Monitor LG 27",Eletrônicos,1200.00,8,true,2024-01-18
5,Webcam HD,Periféricos,250.00,30,false,2024-01-19
6,Headset Gamer,Periféricos,320.00,25,true,2024-01-20
7,SSD 1TB,Armazenamento,550.00,60,true,2024-01-21
8,Memória RAM 16GB,Hardware,380.00,40,true,2024-01-22
9,Placa de Vídeo,Hardware,2800.00,5,true,2024-01-23
10,Gabinete RGB,Hardware,450.00,15,true,2024-01-24
